model,model_tag,system,num_samples,num_safe,num_unsafe,ASR,avg_time_s
allenai/OLMoE-1B-7B-0924-Instruct,allenai_OLMoE-1B-7B-0924-Instruct,plain,50,32,18,0.36,0.08384089469909668
allenai/OLMoE-1B-7B-0924-Instruct,allenai_OLMoE-1B-7B-0924-Instruct,regex_style_defense,50,48,2,0.04,0.10756046772003174
allenai/OLMoE-1B-7B-0924-Instruct,allenai_OLMoE-1B-7B-0924-Instruct,llamaguard_defense,50,50,0,0.0,0.09169608116149902
