model,model_tag,system,num_samples,num_safe,num_unsafe,ASR,avg_time_s
Qwen/Qwen2-57B-A14B,Qwen_Qwen2-57B-A14B,plain,50,42,8,0.16,0.19477210998535155
Qwen/Qwen2-57B-A14B,Qwen_Qwen2-57B-A14B,regex_style_defense,50,50,0,0.0,0.26459070682525637
Qwen/Qwen2-57B-A14B,Qwen_Qwen2-57B-A14B,llamaguard_defense,50,50,0,0.0,0.19979622840881348
